total	25	26	27	28	29	30	31	32	33	34
-100	513	8	13	101	177	72	93	41	8	0	0
-99	651	11	43	210	162	117	60	32	8	7	1
-98	392	15	16	29	67	70	91	62	41	1	0
-97	949	68	16	168	77	238	174	183	22	3	0
-96	333	11	23	50	57	104	60	25	3	0	0
-95	280	17	22	27	82	69	38	18	5	0	2
-94	512	8	24	193	113	114	39	13	7	1	0
-93	314	6	46	55	53	57	50	39	7	1	0
-92	304	9	10	42	47	45	42	78	31	0	0
-91	456	44	26	84	117	110	37	30	6	1	1
-90	575	10	19	72	101	207	72	75	14	1	4
-89	337	6	12	28	51	107	85	39	8	1	0
-88	742	46	133	217	82	158	73	18	10	4	1
-87	602	31	53	168	109	123	65	35	14	4	0
-86	388	6	24	35	112	85	62	52	12	0	0
-85	441	10	8	84	146	88	67	31	4	3	0
-84	289	18	26	36	49	68	60	23	7	1	1
-83	452	21	23	40	104	154	73	33	3	1	0
-82	357	13	17	74	114	83	33	17	4	2	0
-81	326	16	21	77	56	95	28	24	9	0	0
-80	458	11	20	34	150	58	121	50	10	4	0
-79	1283	52	60	499	130	324	164	48	5	1	0
-78	1095	17	58	145	530	140	116	75	13	0	1
-77	826	47	25	84	244	199	143	68	15	1	0
-76	407	24	26	64	94	85	61	37	12	4	0
-75	831	110	45	242	88	192	69	61	24	0	0
-74	895	12	42	55	347	160	150	118	9	2	0
-73	530	30	20	152	118	104	73	21	9	3	0
-72	625	32	99	92	113	165	76	26	20	1	1
-71	808	36	14	35	245	185	181	94	16	2	0
-70	738	17	20	200	185	154	114	33	13	1	1
-69	868	13	87	319	149	161	60	57	11	5	6
-68	612	23	49	53	116	192	88	69	18	4	0
-67	751	29	26	61	317	170	110	26	10	2	0
-66	1372	25	43	192	141	504	200	252	13	1	1
-65	708	20	45	78	238	128	133	54	10	2	0
-64	817	32	22	205	190	195	123	39	8	3	0
-63	514	26	81	95	125	95	53	27	12	0	0
-62	543	23	33	47	72	160	101	91	10	4	2
-61	591	22	59	136	120	134	74	29	14	3	0
-60	381	19	33	63	89	93	53	17	12	1	1
-59	451	28	36	81	97	89	61	48	11	0	0
-58	1099	29	139	110	327	225	171	88	9	1	0
-57	490	28	54	64	80	110	83	35	23	13	0
-56	692	30	100	116	162	132	93	37	18	4	0
-55	729	32	36	96	243	164	101	46	11	0	0
-54	589	18	42	173	125	125	62	30	9	5	0
-53	751	10	26	101	88	202	126	137	59	2	0
-52	885	36	43	113	269	176	198	45	3	2	0
-51	618	31	17	99	131	196	108	29	6	1	0
-50	635	20	40	57	213	193	78	31	3	0	0
-49	916	32	12	151	364	144	136	61	16	0	0
-48	871	27	66	230	155	168	135	68	21	1	0
-47	3085	66	99	69	387	1461	432	496	73	2	0
-46	750	23	40	120	237	110	145	69	3	3	0
-45	609	31	59	154	85	122	88	53	13	0	4
-44	490	26	69	80	102	110	56	37	9	0	1
-43	957	35	15	111	448	154	135	42	14	1	2
-42	592	35	37	203	94	108	78	21	15	1	0
-41	526	30	58	79	105	100	87	51	16	0	0
-40	664	110	32	89	185	80	100	44	21	3	0
-39	537	24	43	98	98	113	93	40	26	2	0
-38	594	23	34	62	98	158	94	113	12	0	0
-37	443	21	29	54	90	95	96	42	14	0	2
-36	422	20	13	78	90	103	67	36	14	0	1
-35	542	10	29	104	148	117	81	46	7	0	0
-34	461	31	25	57	135	93	70	33	14	3	0
