total	25	26	27	28	29	30	31	32	33	34
-100	35282	1235	1752	16740	6085	6562	2104	381	276	115	32
-99	30628	1058	3226	1647	1989	10471	5834	4940	1279	124	60
-98	42221	1417	851	1857	19791	8324	7625	2078	186	70	22
-97	51361	1474	4273	25335	8229	7864	2676	602	682	174	52
-96	25412	1250	4491	1511	1334	6853	4303	4501	1060	88	21
-95	46492	3407	1380	1658	19107	9507	9116	2041	208	43	25
-94	35026	1006	1594	15032	7666	6562	2183	490	332	139	22
-93	25041	742	2742	1197	1398	8311	4761	4683	1137	58	12
-92	45291	1457	900	1818	19405	10192	9412	1950	102	35	20
-91	45324	744	1615	18298	12236	9662	1995	376	291	95	12
-90	34788	1096	3680	1603	2137	12193	5584	6783	1597	94	21
-89	48572	1459	763	1965	22322	8719	10344	2838	114	35	13
-88	38786	1086	2271	18155	6586	6512	2951	639	445	122	19
-87	32377	1348	3859	1314	1798	10741	6251	5790	1189	71	16
-86	48265	1531	841	1744	22066	10325	9465	2064	185	27	17
-85	39501	856	1590	18398	7873	7676	2210	438	324	118	18
-84	34047	1685	3789	1593	1937	11787	5685	5878	1567	114	12
-83	43778	2451	1110	2190	19654	8088	8104	1992	150	20	19
-82	40181	1015	1876	19068	7782	6990	2363	492	440	133	22
-81	30107	1049	3647	1210	1541	10002	5469	5387	1704	78	20
-80	49326	1986	942	1604	21064	10640	9914	2952	137	53	34
-79	46743	1401	2056	20719	9295	9040	3361	375	367	99	30
-78	30140	804	3540	1391	1762	10503	5251	5445	1344	83	17
-77	47184	2073	1195	2078	21687	9421	8333	2227	108	45	17
-76	38123	1795	1853	18344	6235	6950	2021	479	332	95	19
-75	30076	936	3493	1264	1523	10623	5805	5072	1209	117	34
-74	43892	1604	885	1549	20610	8457	8487	2007	179	78	36
-73	40597	938	2034	19263	7189	6489	2475	1083	818	288	20
-72	29587	1035	3346	1127	1354	9069	6551	5440	1551	86	28
-71	43553	1953	923	1566	18908	9602	8142	2245	161	31	22
-70	42761	1478	2075	18882	9643	7089	2877	330	264	98	25
-69	29315	767	3396	1539	1749	9002	5467	5738	1516	124	17
-68	48221	1668	931	1712	21428	10289	9321	2642	177	34	19
